openalex_id,issn,issn_l,is_in_doaj,is_core,publisher_id,publisher
S2737636620,1866-6140,1866-6140,False,True,P4310313691,Pabst Science Publishers
S2736728258,1866-802X,1866-802X,True,True,P4310320017,SAGE Publishing
S4210234620,1866-8836,1866-8836,False,False,P4310313667,Hamburg University Press
S4210234620,1867-416X,1866-8836,False,False,P4310313667,Hamburg University Press
S4210211470,1867-5565,1867-5565,False,True,P4310313744,kassel university press
S1000112711,1867-5778,1867-5778,False,True,P4310313985,University of Münster
S193577823,1867-8610,1867-8610,False,True,P4310313756,Copernicus Publications
S77463057,1867-8777,1674-4519,True,True,P4310320990,Elsevier BV
S26039282,1868-1646,1861-2121,False,True,P4310313744,kassel university press
S2736728258,1868-4890,1866-802X,True,True,P4310320017,SAGE Publishing
S15272795,1868-8799,1863-0383,False,True,P4310313744,kassel university press
S4210168885,1868-8934,1868-8934,True,False,,
S45795350,1869-1889,1674-7305,False,True,P4310319900,Springer Science+Business Media
S4210168885,1869-2338,1868-8934,True,False,,
S2737668088,1869-778X,1869-778X,False,False,,
S4210240871,1869-9537,1869-9537,False,False,,
S4210229484,1870-1582,1870-1582,False,False,,
S112657114,1870-4905,0011-1503,False,False,P4310319631,"Instituto de Investigaciones Filosóficas, UNAM"
S2737930237,1870-6614,1870-6614,True,False,P4310319599,National Polytechnic Institute
S153791594,1872-5457,1872-5457,False,True,P4310320561,Brill
S153791594,1872-5465,1872-5457,False,True,P4310320561,Brill
S2739451318,1872-7859,1872-7859,False,True,P4310319900,Springer Science+Business Media
S128934584,1872-9797,0166-0616,False,True,P4310320990,Elsevier BV
S63322718,1873-4103,1369-7021,False,True,P4310320990,Elsevier BV
S19156006,1873-958X,1873-958X,True,True,P4310320990,Elsevier BV
S19156006,1873-9598,1873-958X,True,True,P4310320990,Elsevier BV
S18839166,1874-0650,1874-0650,False,True,,
S123856118,1874-088X,1874-088X,False,True,P4310320079,Bentham Science Publishers
S170372388,1874-091X,1874-091X,False,True,P4310320079,Bentham Science Publishers
S89810177,1874-110X,1874-110X,False,True,P4310320079,Bentham Science Publishers
S18647887,1874-1207,1874-1207,False,True,P4310320079,Bentham Science Publishers
S4210183153,1874-1290,1874-1290,False,True,P4310320079,Bentham Science Publishers
S61364785,1874-1436,1874-1436,False,True,P4310320079,Bentham Science Publishers
S123994187,1874-1495,1874-1495,False,True,P4310320079,Bentham Science Publishers
S66648542,1874-155X,1874-155X,False,True,P4310320079,Bentham Science Publishers
S81212025,1874-1835,1874-1835,False,True,P4310320079,Bentham Science Publishers
S78919867,1874-1924,1874-1924,False,True,P4310320079,Bentham Science Publishers
S144224645,1874-1967,1874-1967,False,True,P4310320079,Bentham Science Publishers
S190650273,1874-205X,1874-205X,False,True,P4310320079,Bentham Science Publishers
S4977192,1874-2106,1874-2106,False,True,P4310320079,Bentham Science Publishers
S78114708,1874-2130,1874-2130,False,True,P4310320079,Bentham Science Publishers
S100972899,1874-2165,1874-2165,False,True,,
S4210232024,1874-2262,1874-2262,False,True,P4310320079,Bentham Science Publishers
S4210176340,1874-2300,1874-2300,False,True,P4310320079,Bentham Science Publishers
S94254616,1874-2416,1874-2416,False,True,P4310320079,Bentham Science Publishers
S34818089,1874-2483,1874-2483,False,False,,
S170292514,1874-2564,1874-2564,False,True,,
S172553167,1874-2629,1874-2629,False,True,P4310320079,Bentham Science Publishers
S195356541,1874-2793,1874-2793,False,True,P4310320079,Bentham Science Publishers
S113771045,1874-2823,1874-2823,False,True,P4310320079,Bentham Science Publishers
S63375804,1874-2858,1874-2858,False,True,P4310320079,Bentham Science Publishers
